perturbation_label	drug_name
[('Clonidine (hydrochloride)', 0.5, 'uM')]	Clonidine (hydrochloride)
[('Clonidine (hydrochloride)', 5.0, 'uM')]	Clonidine (hydrochloride)
[('Clopidogrel', 0.05, 'uM')]	Clopidogrel
[('Clopidogrel', 0.5, 'uM')]	Clopidogrel
[('Clopidogrel', 5.0, 'uM')]	Clopidogrel
[('Clotrimazole', 0.05, 'uM')]	Clotrimazole
[('Clotrimazole', 0.5, 'uM')]	Clotrimazole
[('Clotrimazole', 5.0, 'uM')]	Clotrimazole
[('Cloxacillin (sodium)', 0.05, 'uM')]	Cloxacillin (sodium)
[('Cloxacillin (sodium)', 0.5, 'uM')]	Cloxacillin (sodium)
[('Cloxacillin (sodium)', 5.0, 'uM')]	Cloxacillin (sodium)
[('Cobimetinib', 0.05, 'uM')]	Cobimetinib
[('Cobimetinib', 0.5, 'uM')]	Cobimetinib
[('Cobimetinib', 5.0, 'uM')]	Cobimetinib
[('Crizotinib (hydrochloride)', 0.05, 'uM')]	Crizotinib (hydrochloride)
[('Crizotinib (hydrochloride)', 0.5, 'uM')]	Crizotinib (hydrochloride)
[('Crizotinib (hydrochloride)', 5.0, 'uM')]	Crizotinib (hydrochloride)
[('Cyclosporin A', 0.05, 'uM')]	Cyclosporin A
[('Cyclosporin A', 0.5, 'uM')]	Cyclosporin A
[('Cyclosporin A', 5.0, 'uM')]	Cyclosporin A
[('Cysteamine (hydrochloride)', 0.05, 'uM')]	Cysteamine (hydrochloride)
[('Cysteamine (hydrochloride)', 0.5, 'uM')]	Cysteamine (hydrochloride)
[('Cysteamine (hydrochloride)', 5.0, 'uM')]	Cysteamine (hydrochloride)
[('Cytarabine (hydrochloride)', 0.05, 'uM')]	Cytarabine (hydrochloride)
[('Cytarabine (hydrochloride)', 0.5, 'uM')]	Cytarabine (hydrochloride)
[('Cytarabine (hydrochloride)', 5.0, 'uM')]	Cytarabine (hydrochloride)
[('Cytarabine', 0.05, 'uM')]	Cytarabine
[('Cytarabine', 0.5, 'uM')]	Cytarabine
[('Cytarabine', 5.0, 'uM')]	Cytarabine
[('DMSO_TF', 0.0, 'uM')]	DMSO_TF
[('DT-061', 0.05, 'uM')]	DT-061
[('DT-061', 0.5, 'uM')]	DT-061
[('DT-061', 5.0, 'uM')]	DT-061
[('DTP3', 0.05, 'uM')]	DTP3
[('DTP3', 0.5, 'uM')]	DTP3
[('DTP3', 5.0, 'uM')]	DTP3
[('Dabrafenib', 0.05, 'uM')]	Dabrafenib
[('Dabrafenib', 0.5, 'uM')]	Dabrafenib
[('Dabrafenib', 5.0, 'uM')]	Dabrafenib
[('Daidzin', 0.05, 'uM')]	Daidzin
[('Daidzin', 0.5, 'uM')]	Daidzin
[('Daidzin', 5.0, 'uM')]	Daidzin
[('Dapagliflozin ((2S)-1,2-propanediol, hydrate)', 0.05, 'uM')]	Dapagliflozin ((2S)-1,2-propanediol, hydrate)
[('Dapagliflozin ((2S)-1,2-propanediol, hydrate)', 0.5, 'uM')]	Dapagliflozin ((2S)-1,2-propanediol, hydrate)
[('Dapagliflozin ((2S)-1,2-propanediol, hydrate)', 5.0, 'uM')]	Dapagliflozin ((2S)-1,2-propanediol, hydrate)
[('Dapagliflozin', 0.05, 'uM')]	Dapagliflozin
[('Dapagliflozin', 0.5, 'uM')]	Dapagliflozin
[('Dapagliflozin', 5.0, 'uM')]	Dapagliflozin
[('Daptomycin', 0.05, 'uM')]	Daptomycin
[('Daptomycin', 0.5, 'uM')]	Daptomycin
[('Daptomycin', 5.0, 'uM')]	Daptomycin
[('Darinaparsin', 0.05, 'uM')]	Darinaparsin
[('Darinaparsin', 0.5, 'uM')]	Darinaparsin
[('Darinaparsin', 5.0, 'uM')]	Darinaparsin
[('Darolutamide', 0.05, 'uM')]	Darolutamide
[('Darolutamide', 0.5, 'uM')]	Darolutamide
[('Darolutamide', 5.0, 'uM')]	Darolutamide
[('Decitabine', 0.05, 'uM')]	Decitabine
[('Decitabine', 0.5, 'uM')]	Decitabine
[('Decitabine', 5.0, 'uM')]	Decitabine
[('Delamanid', 0.05, 'uM')]	Delamanid
[('Delamanid', 0.5, 'uM')]	Delamanid
[('Delamanid', 5.0, 'uM')]	Delamanid
[('Demeclocycline', 0.05, 'uM')]	Demeclocycline
[('Demeclocycline', 0.5, 'uM')]	Demeclocycline
[('Demeclocycline', 5.0, 'uM')]	Demeclocycline
[('Dexamethasone', 0.05, 'uM')]	Dexamethasone
[('Dexamethasone', 0.5, 'uM')]	Dexamethasone
[('Dexamethasone', 5.0, 'uM')]	Dexamethasone
[('Dexmedetomidine', 0.05, 'uM')]	Dexmedetomidine
[('Dexmedetomidine', 0.5, 'uM')]	Dexmedetomidine
[('Dexmedetomidine', 5.0, 'uM')]	Dexmedetomidine
[('Diammonium Glycyrrhizinate', 0.05, 'uM')]	Diammonium Glycyrrhizinate
[('Diammonium Glycyrrhizinate', 0.5, 'uM')]	Diammonium Glycyrrhizinate
[('Diammonium Glycyrrhizinate', 5.0, 'uM')]	Diammonium Glycyrrhizinate
[('Digitoxin', 0.05, 'uM')]	Digitoxin
[('Digitoxin', 0.5, 'uM')]	Digitoxin
[('Digitoxin', 5.0, 'uM')]	Digitoxin
[('Dihydroartemisinin', 0.05, 'uM')]	Dihydroartemisinin
[('Dihydroartemisinin', 0.5, 'uM')]	Dihydroartemisinin
[('Dihydroartemisinin', 5.0, 'uM')]	Dihydroartemisinin
[('Dimethyl fumarate', 0.05, 'uM')]	Dimethyl fumarate
[('Dimethyl fumarate', 0.5, 'uM')]	Dimethyl fumarate
[('Dimethyl fumarate', 5.0, 'uM')]	Dimethyl fumarate
[('Dinaciclib', 0.05, 'uM')]	Dinaciclib
[('Dinaciclib', 0.5, 'uM')]	Dinaciclib
[('Dinaciclib', 5.0, 'uM')]	Dinaciclib
[('Diphenhydramine', 0.05, 'uM')]	Diphenhydramine
[('Diphenhydramine', 0.5, 'uM')]	Diphenhydramine
[('Diphenhydramine', 5.0, 'uM')]	Diphenhydramine
[('Docetaxel (Trihydrate)', 0.05, 'uM')]	Docetaxel (Trihydrate)
[('Docetaxel (Trihydrate)', 0.5, 'uM')]	Docetaxel (Trihydrate)
[('Docetaxel (Trihydrate)', 5.0, 'uM')]	Docetaxel (Trihydrate)
[('Docetaxel', 0.05, 'uM')]	Docetaxel
[('Docetaxel', 0.5, 'uM')]	Docetaxel
[('Docetaxel', 5.0, 'uM')]	Docetaxel
[('Dorzolamide (hydrochloride)', 0.05, 'uM')]	Dorzolamide (hydrochloride)
[('Dorzolamide (hydrochloride)', 0.5, 'uM')]	Dorzolamide (hydrochloride)
[('Dorzolamide (hydrochloride)', 5.0, 'uM')]	Dorzolamide (hydrochloride)
[('Doxorubicin (hydrochloride)', 0.05, 'uM')]	Doxorubicin (hydrochloride)
[('Doxorubicin (hydrochloride)', 0.5, 'uM')]	Doxorubicin (hydrochloride)
[('Doxorubicin (hydrochloride)', 5.0, 'uM')]	Doxorubicin (hydrochloride)
[('Doxycycline (monohydrate)', 0.05, 'uM')]	Doxycycline (monohydrate)
[('Doxycycline (monohydrate)', 0.5, 'uM')]	Doxycycline (monohydrate)
[('Doxycycline (monohydrate)', 5.0, 'uM')]	Doxycycline (monohydrate)
[('Drospirenone', 0.05, 'uM')]	Drospirenone
[('Drospirenone', 0.5, 'uM')]	Drospirenone
[('Drospirenone', 5.0, 'uM')]	Drospirenone
